PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,66.5,27.5,-14.54,-9.23,-9.89,-2.03,9.16,11.87,13.38,10.7,5.14,-1.05,-9.39,-10.98,-0.57
TS,1984,66.5,28.125,-14.55,-9.41,-10.02,-2.19,8.98,11.69,13.19,10.43,4.89,-1.42,-9.45,-11.25,-0.76
TS,1984,66.5,28.75,-14.59,-9.6,-10.03,-2.22,9.03,11.7,13.14,10.34,4.82,-1.76,-9.57,-11.39,-0.84
TS,1984,66.5,29.375,-14.63,-9.78,-10,-2.19,9.2,11.83,13.21,10.42,4.9,-2.05,-9.76,-11.44,-0.86
TS,1984,67,21.875,-15.29,-8.23,-9.53,-2.27,8.77,11.28,12.27,10.11,4.72,-1.2,-11.08,-9.88,-0.86
TS,1984,67,22.5,-15.24,-8.18,-9.56,-2.04,9.04,11.61,12.58,10.45,4.97,-0.99,-11.28,-9.76,-0.7
TS,1984,67,23.125,-15.3,-8.39,-9.72,-2.08,8.84,11.77,12.79,10.62,5.05,-0.92,-11.36,-9.7,-0.7
TS,1984,67,23.75,-15.34,-8.56,-9.87,-2.14,8.65,11.81,12.91,10.65,5.01,-0.85,-11.29,-9.6,-0.72
TS,1984,67,24.375,-15.33,-8.64,-9.93,-2.18,8.53,11.8,12.96,10.6,4.94,-0.78,-11.11,-9.52,-0.72
TS,1984,67,25,-15.23,-8.77,-9.91,-2.22,8.28,11.74,13,10.59,4.99,-1.05,-10.88,-9.66,-0.76
TS,1984,67,25.625,-15.16,-8.9,-9.97,-2.32,7.91,11.61,12.97,10.52,4.94,-1.39,-10.79,-9.81,-0.87
TS,1984,67,26.25,-15.07,-9.04,-10.05,-2.41,7.73,11.49,12.91,10.44,4.84,-1.71,-10.79,-10.09,-0.98
TS,1984,67,26.875,-14.94,-9.16,-10.08,-2.38,7.91,11.53,12.94,10.46,4.82,-1.89,-10.8,-10.48,-1.01
TS,1984,67,27.5,-14.76,-9.22,-10.05,-2.39,8.11,11.54,12.93,10.44,4.8,-1.97,-10.72,-10.67,-1
TS,1984,67,28.125,-14.7,-9.38,-10.12,-2.6,7.87,11.3,12.68,10.15,4.58,-2.25,-10.72,-10.75,-1.16
TS,1984,67,28.75,-14.69,-9.6,-10.22,-2.82,7.54,11.05,12.43,9.86,4.37,-2.57,-10.79,-10.84,-1.36
TS,1984,67,29.375,-14.69,-9.8,-10.32,-2.97,7.27,10.84,12.24,9.64,4.23,-2.86,-10.76,-10.89,-1.51
TS,1984,67.5,21.875,-15.65,-8.76,-9.76,-2.62,8.36,10.95,11.75,9.69,4.36,-2.18,-11.59,-10.68,-1.34
TS,1984,67.5,22.5,-15.63,-8.82,-9.85,-2.57,8.2,11.11,11.96,9.9,4.51,-2.13,-11.87,-10.6,-1.32
TS,1984,67.5,23.125,-15.55,-9,-9.94,-2.57,7.75,11.16,12.1,10.04,4.55,-2.16,-12.08,-10.49,-1.35
TS,1984,67.5,23.75,-15.45,-9.12,-10,-2.55,7.48,11.23,12.23,10.13,4.57,-2.18,-12.13,-10.28,-1.34
TS,1984,67.5,24.375,-15.38,-9.14,-10.05,-2.58,7.41,11.24,12.26,10.1,4.52,-2.23,-11.99,-10.08,-1.33
TS,1984,67.5,25,-15.34,-9.16,-10.11,-2.65,7.29,11.22,12.28,10.05,4.5,-2.31,-11.94,-9.96,-1.34
TS,1984,67.5,25.625,-15.19,-9.24,-10.15,-2.72,6.97,11.08,12.21,9.98,4.39,-2.47,-11.83,-9.93,-1.41
TS,1984,67.5,26.25,-15.07,-9.3,-10.16,-2.77,6.78,10.99,12.17,9.98,4.31,-2.7,-11.83,-9.99,-1.47
TS,1984,67.5,26.875,-15.01,-9.32,-10.12,-2.8,6.86,11,12.18,10.05,4.29,-2.93,-12,-10.09,-1.49
TS,1984,67.5,27.5,-14.88,-9.4,-10.16,-2.83,6.93,10.99,12.16,10.03,4.3,-3.02,-11.89,-10.22,-1.5
TS,1984,67.5,28.125,-14.74,-9.47,-10.25,-2.9,6.79,10.84,12.04,9.89,4.27,-3.07,-11.61,-10.28,-1.54
