PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,64,5,7.45,6.92,6.78,7.1,7.6,9.97,11.83,12.16,11.27,9.75,8.77,8.31,8.99
TS,1984,64,5.625,7.61,7.06,6.92,7.09,7.76,9.96,11.89,12.23,11.33,9.79,8.83,8.39,9.07
TS,1984,64,6.25,7.57,7,6.83,6.88,7.7,9.94,11.91,12.42,11.29,9.64,8.75,8.3,9.02
TS,1984,64,6.875,7.53,6.94,6.73,6.69,7.66,9.91,11.93,12.62,11.25,9.51,8.66,8.19,8.97
TS,1984,64,7.5,7.41,6.75,6.47,6.39,7.67,9.98,12.04,12.66,11.29,9.57,8.7,8.13,8.92
TS,1984,64,8.125,6.95,6.39,6.08,6.08,7.73,10.13,12.13,12.68,11.24,9.55,8.55,7.92,8.79
TS,1984,64,8.75,5.87,5.77,5.43,5.72,7.9,10.42,12.17,12.58,10.97,9.42,8.15,7.42,8.48
TS,1984,64,9.375,3.88,4.44,4.16,5.21,8.24,10.54,12.15,12.44,10.45,8.88,7.06,6.17,7.8
TS,1984,64.5,10,4.19,4.68,4.23,5.28,8.28,10.54,12.05,12.61,10.48,8.64,6.99,6.31,7.86
TS,1984,64.5,10.625,0.41,2.12,1.84,4.5,9.07,10.77,12.06,12.51,9.62,7.46,4.65,3.69,6.56
TS,1984,64.5,11.25,-3.16,-0.28,-0.79,3.15,9.66,10.89,11.97,12.27,8.72,6.26,2.3,0.91,5.16
TS,1984,64.5,11.875,-7.83,-3.6,-4.51,0.89,9.57,10.67,11.54,11.6,7.24,4.41,-1.14,-3.08,2.98
TS,1984,64.5,12.5,-10.85,-5.9,-7.09,-0.75,7.78,10.17,11.02,10.89,6.01,2.67,-4.03,-5.96,1.16
TS,1984,64.5,5,7.51,7.02,6.87,7.13,7.57,9.99,11.87,11.81,11.17,9.68,8.69,8.29,8.97
TS,1984,64.5,5.625,7.62,7.14,6.99,7.21,7.74,10.1,11.78,11.8,11.18,9.68,8.75,8.37,9.03
TS,1984,64.5,6.25,7.62,7.13,7.01,7.15,7.79,10.17,11.67,11.96,11.17,9.56,8.69,8.31,9.02
TS,1984,64.5,6.875,7.54,6.99,6.95,6.97,7.75,10.19,11.54,12.34,11.14,9.33,8.48,8.12,8.94
TS,1984,64.5,7.5,7.43,6.87,6.85,6.8,7.77,10.28,11.57,12.59,11.15,9.2,8.31,8.01,8.9
TS,1984,64.5,8.125,7.32,6.78,6.72,6.66,7.83,10.35,11.77,12.69,11.17,9.18,8.2,8,8.89
TS,1984,64.5,8.75,7.12,6.65,6.45,6.39,7.84,10.39,11.93,12.73,11.15,9.27,8.29,8.03,8.85
TS,1984,64.5,9.375,6.85,6.5,6.04,5.98,7.82,10.45,12.07,12.74,11.13,9.42,8.53,8.1,8.8
